,UK,EN,TRANSLATION
97,Хутко!,Hurry up.,Quickly!
98,Швидко!,Hurry up.,Shvidko!
99,Хутко.,Hurry up.,It's hot.
100,Це і не дивно.,It doesn't surprise me.,It's not weird.
101,Це мене не дивує.,It doesn't surprise me.,It doesn't surprise me.
102,Чомусь я більш жвавий вночі.,For some reason I feel more alive at night.,Why am I more important?
103,Це залежить від контексту.,It depends on the context.,It depends on the context.
104,Залижить від контексту.,It depends on the context.,To put it in context.
105,"Це що, такий жарт?",Are you freaking kidding me?!,"What, this joke?"
106,Це в тебе такі жарти?!,Are you freaking kidding me?!,Are you such a freak?
107,"Ти що, знущаєшся з мене?!",Are you freaking kidding me?!,What are you talking about?
108,"Ти з мене знущаєшся, чи що?!",Are you freaking kidding me?!,"You're staring at me, aren't you?"
109,"Це найбільша нісенітниця, яку я коли-небудь казав.",That's the stupidest thing I've ever said.,This is the biggest nonsense I've ever heard.
110,"Я не хочу бути жалюгідним, я хочу бути крутим!",I don't want to be lame; I want to be cool!!,"I don't want to be rude, I want to be cool!"
111,"Я не хочу бути жалюгідним, я хочу бути крутим.",I don't want to be lame; I want to be cool!!,"I don't want to be rude, I want to be cool."
112,"Я хочу стати королем, як виросту.","When I grow up, I want to be a king.","I want to be king, like a thief."
113,"Я хочу стати королем, коли виросту.","When I grow up, I want to be a king.","I want to be king, Kolya."
114,"Я мрію стати королем, коли виросту.","When I grow up, I want to be a king.","I wish I was a king, when I grow up."
115,"Америка, чудове місце залишатися, якщо ти тут щоб заробити грощі.","America is a lovely place to be, if you are here to earn money.","America, a great place to stay, if you want to make money."
116,Я такий гладкий.,I'm so fat.,I am so smooth.
117,Я дуже гладкий.,I'm so fat.,I'm very smooth.
118,Ну то що?,So what?,What's that?
119,І що?,So what?,And what?
120,Ну і що?,So what?,And what?
121,Ну й що?,So what?,What?
122,Я його застрелю.,I'm gonna shoot him.,I'll shoot him.
123,"Я не справжня риба, я лишень плюшева іграшка.","I'm not a real fish, I'm just a mere plushy.","I'm not a fish, I'm a lizard."
124,"Я не справжня риба, я лише плюшева іграшка.","I'm not a real fish, I'm just a mere plushy.","I'm not a fish, I'm just a toy."
125,Я просто кажу!,I'm just saying!,I just say!
126,"Скоріш за все, це й вплинуло на їхнє рішення.",That was probably what influenced their decision.,It's all about their decisions.
127,Мені завжди було цікаво як це - мати братів та сестер.,I've always wondered what it'd be like to have siblings.,I've always been interested in how to be a sister.
128,Я би так і сказав.,This is what I would have said.,I would say so.
129,"Мені знадобиться вічність, щоб все пояснити.",It would take forever for me to explain everything.,I need to know how to explain everything.
130,"Це через те, що ти дівчина.",That's because you're a girl.,"That's through you, girl."
131,"Це тому, що ти дівчинка.",That's because you're a girl.,That's why you're a girl.
132,Часом я не в змозі стримати емоцій.,Sometimes I can't help showing emotions.,Sometimes I can't shake my emotions.
133,"Це і є те слово, для якого я хотів би знайти заміну.",It's a word I'd like to find a substitute for.,That's what I wanted to find.
134,Я не хочу бути егоїстичним.,I don't intend to be selfish.,I don't want to be his.
135,Не маю наміру бути егоїстом.,I don't intend to be selfish.,I don't want to be his.
136,Давай розгляднемо найгірший із варіантів.,Let's consider the worst that could happen.,Let's look at the worst options.
137,"Давайте розгляднемо найгірший варіант з того, що могло би трапитися.",Let's consider the worst that could happen.,Let's look at the worst possible option.
138,Скільки у тебе близьких друзів?,How many close friends do you have?,How many close friends do you have?
139,Скільки в тебе близьких друзів?,How many close friends do you have?,How many close friends do you have?
140,"Можливо, я антисоціальний, але це не означає, що я не спілкуюся з людьми.","I may be antisocial, but it doesn't mean I don't talk to people.","Maybe I'm anti-social, but that doesn't mean I don't communicate with people."
141,Так було завжди.,This is always the way it has been.,It was always like that.
142,Так завжди було.,This is always the way it has been.,It was always like that.
143,"Гадаю, краще поводитись виховано.",I think it is best not to be impolite.,"I'm sorry, I'm better off with you."
144,"Гадаю, краще не бути нечемним.",I think it is best not to be impolite.,"I'm sorry, I'm not being rude."
145,"Гадаю, краще не бути нечемною.",I think it is best not to be impolite.,"I'm sorry, I'm not being rude."
146,Час завжди можна знайти.,One can always find time.,You can always find it.
147,Завжди можна знайти час.,One can always find time.,You can find the clock tomorrow.
148,"Коли я вчився у школі, я вставав о шостій кожного ранку.","Back in high school, I got up at 6 a.m. every morning.","When I was in school, I got up at six in the morning."
149,"Коли я вчилася у середній школі, я вставала о шостій кожного ранку.","Back in high school, I got up at 6 a.m. every morning.","When I was in high school, I got up at six in the morning."
150,"Коли я прокинувся, мені було сумно.","When I woke up, I was sad.","I was shaken, I was sad."
151,"Я думав, тобі подобається вивчати нові речі.",I thought you liked to learn new things.,I thought you liked to learn new things.
152,"Я думала, тобі подобається дізнаватися нового.",I thought you liked to learn new things.,I thought you liked to learn something new.
153,Більшість людей робить щоденні нотатки про життя.,Most people write about their daily life.,Most people do everyday things for a living.
154,"Якщо б я міг надіслати тобі зефір, Чанг, я б це зробив.","If I could send you a marshmallow, Trang, I would.","If I could send you a letter, Chang, I would."
155,"Ти повинен ризикнути, щоб зробити це.","In order to do that, you have to take risks.",You have to risk it to do that.
156,"Усі самотні люди самотні через те, що бояться інших.",Every person who is alone is alone because they are afraid of others.,"Selfish people are selfish through you, that fear others."
157,А чому Ви питаєте?,Why do you ask?,Why do you eat?
158,А чому ти питаєш?,Why do you ask?,Why do you eat?
159,А нащо ти питаєш?,Why do you ask?,Do you eat?
160,Чому ти питаєш?,Why do you ask?,Why do you eat?
161,Чому ви питаєте?,Why do you ask?,Why do you eat?
162,Навіщо ви питаєте?,Why do you ask?,Do you eat?
163,"Завжди, коли я знаходжу щось, що мені подобається, воно занадто дороге.","Whenever I find something I like, it's too expensive.","Every time I find something, I like it, it's too expensive."
164,Скільки ти там пробув?,How long did you stay?,How many did you try?
165,Чи довго ви там були?,How long did you stay?,Have you been there long?
166,Може для нього це буде те ж саме.,Maybe it will be exactly the same for him.,It could be the same for him.
167,Невинність - чудова річ.,Innocence is a beautiful thing.,Nevinity is a wonderful thing.
168,Люди не можуть жити вічно.,Humans were never meant to live forever.,People can't live.
169,"Я не хочу змінювати свої погляди, навіть якщо вони дещо екстремальні.","I don't want to lose my ideas, even though some of them are a bit extreme.","I don't want to change my outlook, even if they're extreme."
170,Це інтригує.,That is intriguing.,It's intriguing.
171,Я не маю облікового запису на цих форумах.,I do not have an account in these forums.,I don't have a record of these forums.
172,Я не зареєстрований на цих форумах.,I do not have an account in these forums.,I'm not registered on these forums.
173,У мене немає облікового запису на цих форумах.,I do not have an account in these forums.,I don't have a record of these forums.
174,"Я не знав, звідки це взялося.",I didn't know where it came from.,I didn't know where it came from.
175,Це не важливо.,This is not important.,It's not important.
176,Це неважливо.,This is not important.,It's not important.
177,Мені це не подобалось.,I didn't like it.,I didn't like it.
178,Мені це не сподобалося.,I didn't like it.,I didn't like it.
179,"Вона питає, як це можливо.",She's asking how that's possible.,"She feeds, as it is possible."
180,Ти просто тікаєш від життєвих проблем.,You're just running away from life's problems.,You just have to deal with life's problems.
181,"Є проблема, якої ти не розумієш.",There's a problem there that you don't see.,There's a problem you don't understand.
182,"Тут є проблема, якої ти не бачиш.",There's a problem there that you don't see.,There's a problem you don't see.
183,Ти це можеш!,You can do it.,You can do that!
184,Ти зможеш!,You can do it.,You can!
185,Ти подужаєш!,You can do it.,You're going to die!
186,Ви це можете!,You can do it.,You can do this!
187,Ви зможете!,You can do it.,You can!
188,Ви подужаєте!,You can do it.,You're going to die!
189,У вас вийде.,You can do it.,You will see.
190,"Моєму вчителеві фізики байдуже, чи пропущу я заняття.",My physics teacher doesn't care if I skip classes.,"My physics teacher is a failure, I miss him."
191,"Моєму викладачу фізики байдуже, чи я пропускаю заняття.",My physics teacher doesn't care if I skip classes.,"My physics teacher is a badass, so I'm missing out."
192,Я хотіла б мати можливість поїхати до Японії.,I wish I could go to Japan.,I wanted to have the opportunity to go to Japan.
193,Я хотів би мати можливість поїхати до Японії.,I wish I could go to Japan.,I wanted to have the opportunity to go to Japan.
194,"Я не люблю, коли навколо багато людей.",I hate it when there are a lot of people.,I don't like people around me.
195,"Я ненавиджу, коли навколо багато людей.",I hate it when there are a lot of people.,I don't see many people around.
196,Маю піти спати.,I have to go to bed.,I drink to sleep.
197,Я маю йти спати.,I have to go to bed.,I'm going to sleep.
198,Мені час йти спати.,I have to go to bed.,I need to go to bed.
199,Я повинен лягати спати.,I have to go to bed.,I have to lie down.
200,"Потім я пішов звідти, але зрозумів, що забув сумку.","After that, I left, but then I realized that I forgot my backpack at their house.","Then I wrote a note, but I forgot a note."
201,Я сьогодні не запитаю тебе більше ні про що.,I won't ask you anything else today.,I won't ask you anything today.
202,Наступного тижня очікуються заморозки.,It may freeze next week.,The next week is expected to be cold.
203,"Хоч він і вибачився, я все ще розлючений.","Even though he apologized, I'm still furious.","Although he was angry, I was still angry."
204,"Хоч він і вибачився, я все ще розлючена.","Even though he apologized, I'm still furious.","Although he was and I was, I'll be all right."
205,"Дякую, що ви мені нарешті пояснили, чому мене приймають за ідіота.",Thanks for having explained to me at last why people take me for an idiot.,I'm the one who finally explained to me why I'm accepting the idea.
206,Я не мав такого наміру.,That wasn't my intention.,I didn't mean that.
207,Я не мала такого наміру.,That wasn't my intention.,I don't have that intention.
208,Дякую за пояснення.,Thanks for your explanation.,I'll give you a hint.
209,"Теоретично, я займаюся математикою.","Theoretically, I'm doing math.","Theoretically, I do math."
210,"Якщо ти не знав мене з цього боку, ти взагалі мене не знав.",If you didn't know me that way then you simply didn't know me.,"If you don't know me from this side, you don't know me at all."
211,"Якщо ви не знали мене з цього боку, ви взагалі мене не знали.",If you didn't know me that way then you simply didn't know me.,"If you didn't know me from this side, you didn't know me at all."
212,"Я не знаю, що ти маєш на увазі.",I don't know what you mean.,I don't know what you mean.
213,Ти хотів розказати мені про свободу?,You wanted to tell me about freedom?,Did you want to talk to me about freedom?
214,Ти хотів мені розказати про свободу?,You wanted to tell me about freedom?,Did you want me to talk about freedom?
215,"Гм, а тепер це дійсно дивно...","Uh, now it's really weird...","Well, now it's really weird..."
216,"Якби я хотів тебе налякати, я би розповів тобі, що мені снилося кілька тижнів тому.","If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.","If I wanted to tell you, I'd tell you, that I've had a few days."
217,"Є багато слів, яких я не розумію.",There are many words that I don't understand.,There are many I don't understand.
218,Мені потрібно поставити тобі дурне питання.,I need to ask you a silly question.,I need to ask you a few questions.
219,Чи можна це перефразувати якось інакше?,Can it be phrased in another way?,Can it be interpreted differently?
220,Ніхто не дізнається.,No one will know.,No one learns.
221,"Я знайшов рішення, але я зробив це так швидко, що воно не може бути вірним.","I found a solution, but I found it so fast that it can't be the right solution.","I found a solution, but I did it so quickly, that it can't be true."
222,Це здається мені цікавим.,It seems interesting to me.,I think that's interesting.
223,"Це не так просто, за винятком оцього.","Except that here, it's not so simple.","It's not that simple, except for that."
224,Мені подобається світло свічок.,I like candlelight.,I like lightning.
225,Що ти відповів?,What did you answer?,What did you say?
226,Що ти відповіла?,What did you answer?,What did you say?
227,Що ви відповіли?,What did you answer?,What did you answer?
228,"Ні, це не мій новий хлопець.","No, he's not my new boyfriend.","No, it's not my new guy."
229,Ти ніколи не займався чи що?,You never have class or what?!,You never took care of anything?
230,У чому проблема?,Where is the problem?,Why the problem?
231,Я можу тільки чекати.,I can only wait.,I can only wait.
232,Я можу лише чекати.,I can only wait.,I can only wait.
233,"Це зовсім не дивно, чи не так?","It's not much of a surprise, is it?","It's not weird, is it?"
234,Я люблю тебе.,I love you.,I love you.
235,Я кохаю тебе.,I love you.,I love you.
236,Я тебе кохаю.,I love you.,I love you.
237,Я кохаю тебе!,I love you.,I love you!
238,Я тебе люблю.,I love you.,I love you.
239,Я люблю вaс.,I love you.,I love you.
240,Я вaс кохаю.,I love you.,I was cooking.
241,Я кохаю вaс.,I love you.,I am in the kitchen.
242,Я вaс люблю.,I love you.,I loved it.
243,Я вас люблю.,I love you.,I love you.
244,Я вас кохаю.,I love you.,I love you.
245,Ти мені вже не подобаєшся.,I don't like you anymore.,You don't like me anymore.
246,Ти мені більше не подобаєшся.,I don't like you anymore.,You don't like me anymore.
247,Мені цікаво.,I am curious.,I'm curious.
248,Хочу знати.,I am curious.,I want to know.
249,Хочу дізнатися.,I am curious.,I want to know.
250,Я допитливий.,I am curious.,I'm a whistle.
251,Вітаю!,Congratulations!,I'll see you!
252,Вiтаємо.,Congratulations!,We are going.
253,Поздоровляю!,Congratulations!,I'm going to get better!
254,Мої привітання!,Congratulations!,My welcome!
255,Вітаємо!,Congratulations!,We are here!
256,Вітаю.,Congratulations!,I'll see.
257,Не хочу чекати так довго.,I don't want to wait that long.,I don't want to wait that long.
258,Я не хочу так довго чекати.,I don't want to wait that long.,I don't want to wait that long.
259,Чого ти до нас приходиш?,Why don't you come visit us?,What do you come to us for?
260,Але ймовірність невелика.,But the possibility seems unlikely.,But the unfortunate one.
261,Мені не слід було виходити з системи.,I shouldn't have logged off.,I shouldn't have come from the system.
262,"Я не знаю, що ще можна зробити.",I don't know what to do anymore.,I don't know what else to do.
263,"Я не знаю більше, що робити.",I don't know what to do anymore.,I don't know what to do.
264,"Я більш не знаю, що мені робить.",I don't know what to do anymore.,"I don't know, I do."
265,"Я неодмінно колись поїду у Францію, але ще не знаю, коли саме.","It is inevitable that I go to France someday, I just don't know when.","I don't want to go to France, but I don't know when."
266,Я не люблю хімію.,I hate chemistry.,I don't like chemistry.
267,Я ненавиджу хімію.,I hate chemistry.,I don't like chemistry.
268,"Я не бажав, щоб так трапилось.",I didn't want this to happen.,I didn't want to get caught like that.
269,Які в мене є ще варіанти?,What other options do I have?,Which ones are there?
270,Я - невеликий мандрiвник.,I am not much of a traveller.,I'm a small businessman.
271,Я не занадто сильно люблю подорожувати.,I am not much of a traveller.,I don't like to travel too much.
272,Мені більше нема чим зайнятися.,I have nothing better to do.,I don't have much to do.
273,Я теж не можу це пояснити.,I can't explain it either.,I can't explain it either.
274,Я теж не знаходжу пояснення цьому.,I can't explain it either.,I don't know about that either.
275,Кожен має сильні та слабкі сторони.,Everyone has strengths and weaknesses.,Everyone has a weak side.
276,"Це лише показує, що ти не робот.",It only shows you're not a robot.,It just shows that you're not a robot.
277,Як я можу бути роботом? Роботи не бачать снів.,How could I be a robot? Robots don't dream.,How can I be a robot?
278,Як я можу бути роботом? Роботи не мріють.,How could I be a robot? Robots don't dream.,How can I be a robot?
279,"Це не те, що може зробити кожен.",It's not something anyone can do.,"It's not you, it's everyone."
280,"Я не знаю, чи я все ще це маю.",I don't know if I still have it.,"I don't know, I'll have it all."
281,"Як ти гадаєш, що я робив?",What do you think I've been doing?,"How are you doing, what did I do?"
282,"А що, на твою думку, я робив?",What do you think I've been doing?,"What, in your opinion, did I do?"
283,"А що, на твою думку, я роблю?",What do you think I've been doing?,"What, in your opinion, am I doing?"
284,Не недооцінюй моєї сили.,Don't underestimate my power.,Don't underestimate my strength.
285,Не недооцінюй моєї влади.,Don't underestimate my power.,Don't underestimate my power.
286,Мама не дуже добре говорить англійською.,My mom doesn't speak English very well.,Mom's not very good at speaking English.
287,Я недостатньо добре говорю французькою!,I don't speak French well enough!,I'm not very good at French!
288,Саме в цьому й полягає проблема.,Therein lies the problem.,That's the problem.
289,У цьому і є проблема.,Therein lies the problem.,That's the problem.
290,Як ти знайдеш їжу в космосі?,How do you find food in outer space?,How do you find food in space?
291,Як можна знайти їжу в космосі?,How do you find food in outer space?,How do you find food in space?
292,"Все, що ви можете робити, — це довіряти один одному.",All you can do is trust one another.,"Everything you can do, you can trust one."
293,Усі хочуть зустрітись з вами. Ви знаменитий!,Everyone wants to meet you. You're famous!,They want to meet you.
294,"Всі хочуть з тобою познайомитися, ти знаменитий!",Everyone wants to meet you. You're famous!,"They want to know you, you celebrity!"
295,"Чому ти жалкуєш за тим, чого не робив?",Why are you sorry for something you haven't done?,Why don't you regret what you didn't do?
296,"Чому ти вибачаєшся за те, чого ти не робив?",Why are you sorry for something you haven't done?,Why don't you watch what you did?
297,Іноземці цікаві.,Foreign people intrigue me.,I don't know.
298,Іноземці мене інтригують.,Foreign people intrigue me.,I'm intrigued by the land.
299,"Щоб я не робив, вона каже, що я можу зробити краще.","Whatever I do, she says I can do better.","To not do it, she says, that I can do better."
300,Чого ти ще не спиш так пізно?,What keeps you up so late?,Why don't you sleep so late?
301,Що тримає тебе так пізно?,What keeps you up so late?,What's so late for you?
302,Чому ти ще не спиш у таку пізню годину?,What keeps you up so late?,Why don't you sleep at this late hour?
303,Мені нема з ким їхати.,I don't have anyone who'd travel with me.,I don't know who to go to.
304,Ти недостатньо швидкий.,You're not fast enough.,You're short.
305,"Життя жорстке, але я жорсткіший.","Life is hard, but I am harder.","Life is hard, but I'm hard."
306,Зносити може бути незносним.,Bearing can be unbearable.,To be unconscious can be.
307,"Нічого так не гарне, як істина.",Nothing is beautiful but the truth.,Nothing is as good as the truth.
308,Завтра він висадиться на Місяці.,"Tomorrow, he will land on the moon.",He'll be in the moon tomorrow.
309,Я не розмовляю японською.,I don't speak Japanese.,I don't talk Japanese.
310,Це гра слів.,This is a pun.,It's a graph.
311,Ніхто мене не розуміє.,Nobody understands me.,No one understands me.
312,Я навчився жити без неї.,I learned to live without her.,I started living without her.
313,Я навчилася жити без неї.,I learned to live without her.,I learned to live without her.
314,Немає сенсу продовжувати розмірковувати.,It's useless to keep on thinking any more.,There's no point in continuing to count.
315,В цi днi у своïй головi я тримаю дуже багато справ.,I have too many things on my mind these days.,I have a lot of friends in my head.
316,Останнім часом у мене в голові занадто багато всього різного.,I have too many things on my mind these days.,"The last time I was in my head, it was too much."
317,Я лише хотів перевірити свою скриньку електронної пошти.,I just wanted to check my email.,I just wanted to check my e-mail.
318,"Тобі справді потрібно спитати, щоб дізнатись відповідь?",Do you really need to ask the question to know the answer?,To be asked to know?
319,"Припускаю, що за кожною річчю, яку ми повинні зробити, є щось, що ми хочемо зробити.","I suppose that behind each thing we have to do, there's something we want to do...","I admit, for every thing, I have to do something, something we want to do."
320,"Припускаю, що за кожною річчю, яку потрібно зробити, є щось, що хочеться зробити.","I suppose that behind each thing we have to do, there's something we want to do...","I let everything I need to do, something I want to do."
321,"Не чекай, щоб інші подумали за тебе.",Don't expect others to think for you!,Don't wait for others to think of you.
322,У тебе ніколи немає часу на важливі речі!,You never have time for important things!,You never have time for important things!
323,"Я витрачу надто багато часу на пояснення, чому це не спрацює.",It would take me too much time to explain to you why it's not going to work.,I spend a lot of time explaining why it doesn't work.
324,"Я такий дурний... Я намагаюся тобі пояснити те, що сам не розумію.",I'm so dumb... I'm trying to explain things to you that I don't understand myself.,I'm trying to explain to you what I don't understand.
325,"Припини в менi бачити ""нормальну"" людину!","Stop seeing me as a ""normal"" person!",Stop seeing the normal person!
326,"Перестань бачити в мені ""нормальну"" людину!","Stop seeing me as a ""normal"" person!",Stop seeing me as a normal person!
327,Ви маєте на увазі мене?,Are you referring to me?,Do you have respect for me?
328,Неможливо!,It can't be!,Nemo is nice!
329,Це неможливо!,It can't be!,It is impossible!
330,Цього не може бути!,It can't be!,This can't be!
331,Ви б хотіли чогось випити?,Would you like something to drink?,Would you like to know what?
332,Ти не хотів би чогось випити?,Would you like something to drink?,Didn't you want to ask?
333,Ви бажаєте щось випити?,Would you like something to drink?,Do you want to do something?
334,Ти бажаєш щось випити?,Would you like something to drink?,Do you want to do something?
335,"""Хто це?"" - ""Це твоя мати"".","""Who is it?"" ""It's your mother.""","""Who is this?"" ""This is yours""."
336,"""Хто це?"" - ""Твоя мати"".","""Who is it?"" ""It's your mother.""","""Who is this?"" - ""Your mother""."
337,"""Хто це?"" - ""Це мама"".","""Who is it?"" ""It's your mother.""","""Who is this?"" ""This is Mom""."
338,"""Коли повернешся?"" ""Все залежить від погоди""","""When will you be back?"" ""It all depends on the weather.""","""Will you come back?"" ""Everyone depends on the weather""."
339,"""У чому справа?"" - запитав маленький білий кролик.","""What's the matter?"" asked the little white rabbit.","""Why is that?"" asked the little rabbit."
340,"""Що відбувається в печері? Мені цікаво"". — ""Я не маю уяви"".","""What's going on in the cave? I'm curious."" ""I have no idea.""","""What's going on in the cave?"" ""I don't know""."
341,Е... Як це працює?,Uh... How's that working?,Well... how does it work?
342,"«Вірте мені», — сказав він.","""Trust me,"" he said.","I'm sorry, he said."
343,"""Здається, це дуже цікаво"", каже Хіросі.","""This looks pretty interesting,"" Hiroshi says.","""It's very interesting"", says Hiroshi."
344,«Дякую за допомогу.» «Нема за що.»,"""Thank you for helping me."" ""Don't mention it.""",Thank you for your help.
345,"«Дякую, що ви допомогли мені.» «Нема за що.»","""Thank you for helping me."" ""Don't mention it.""","I'm sorry, what did you help me with?"
